month,temp_extremes_min
2012-04,21.9
2012-05,22
2012-06,22.8
2012-07,22.9
2012-08,23.1
2012-09,22.5
2012-10,23.5
2012-11,23.4
2012-12,22.2
2013-01,21.6
2013-02,21.5
2013-03,23.9
2013-04,22.1
2013-05,22.9
2013-06,22.6
2013-07,22.9
2013-08,21.6
2013-09,21.9
2013-10,20.9
2013-11,22.9
2013-12,21.2
2014-01,22.4
2014-02,22.4
2014-03,23.6
2014-04,22.8
2014-05,23
2014-06,23
2014-07,21.1
2014-08,22
2014-09,22.4
2014-10,24
2014-11,22.2
2014-12,22.4
2015-01,23.3
2015-02,23.1
2015-03,23.4
2015-04,24
2015-05,24
2015-06,24.2
2015-07,22.1
2015-08,22.6
2015-09,23.1
2015-10,21.9
2015-11,23.7
2015-12,22.5
2016-01,22.9
2016-02,23.3
2016-03,25.4
2016-04,25.3
2016-05,23.9
2016-06,22.5
2016-07,22.5
2016-08,22.1
2016-09,22.6
2016-10,21.6
2016-11,22.7
2016-12,23
2017-01,21.8
2017-02,22.6
2017-03,22.9
2017-04,22.8
2017-05,23.6
2017-06,22.2
2017-07,23.5
2017-08,23.7
2017-09,22.3
2017-10,23.5
2017-11,23.1
2017-12,23.2
2018-01,21.3
2018-02,23.5
2018-03,23.6
2018-04,22.6
2018-05,23.6
2018-06,22.9
2018-07,21.9
2018-08,21.9
2018-09,21.4
2018-10,22.5
2018-11,22.4
2018-12,23.6
2019-01,23.5
2019-02,21.9
2019-03,22.3
2019-04,22.7
2019-05,22.8
2019-06,23.3
2019-07,23.9
2019-08,24.5
2019-09,22.9
2019-10,22.9
2019-11,22.9
2019-12,22.7
2020-01,23.8
2020-02,23.7
2020-03,24.1
2020-04,23.8
2020-05,23.6
2020-06,23.7
2020-07,23.7
2020-08,22.5
2020-09,21.9
2020-10,22.2
2020-11,23.3
2020-12,23
2021-01,21.7
2021-02,23.7
2021-03,23
2021-04,23.1
2021-05,22.9
2021-06,23.4
2021-07,23.2
2021-08,21.9
2021-09,22.5
2021-10,23.2
2021-11,22.8
2021-12,22.9
2022-01,23.2
2022-02,22.6
2022-03,23
2022-04,23.1
2022-05,23.5
2022-06,22.9
2022-07,22.2
2022-08,23.7
2022-09,22.4
2022-10,23.1
2022-11,22.4
2022-12,23.1
2023-01,22.4
2023-02,21.7
2023-03,21.8
2023-04,23
2023-05,23.4
