,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
76,1988,5,14,229.6,76.7,82.7,25.8,32.0,5.6,34.2,23.3
77,1988,6,13,252.2,69.4,81.6,24.9,31.8,6.5,33.6,22.2
78,1988,7,15,305.4,75.6,84.0,24.6,31.2,6.0,33.8,21.0
79,1988,8,14,80.1,19.0,84.9,24.5,30.8,4.9,32.7,22.6
80,1988,9,14,440.4,187.3,84.5,24.5,31.0,4.8,33.3,21.7
81,1988,10,17,134.6,39.8,83.2,24.5,31.5,4.1,34.5,22.4
82,1988,11,23,401.4,111.9,86.8,23.7,30.3,3.7,32.8,22.1
83,1988,12,11,62.9,22.0,81.1,23.9,30.4,5.7,31.6,23.0
84,1989,1,10,189.7,53.0,84.1,23.9,30.9,5.8,32.8,22.6
85,1989,2,3,52.4,48.4,78.3,23.7,31.8,6.7,33.3,22.3
86,1989,3,21,305.9,63.5,87.6,23.9,31.0,4.5,32.5,22.6
87,1989,4,17,198.6,39.0,86.4,24.0,31.8,5.7,34.5,21.9
88,1989,5,12,194.0,38.2,86.6,24.5,31.5,5.2,33.3,21.2
89,1989,6,12,117.6,45.9,83.3,24.4,31.7,6.0,33.2,22.3
90,1989,7,12,157.6,33.3,82.6,24.9,31.6,6.0,32.7,22.2
91,1989,8,18,201.0,81.4,83.7,23.9,31.0,5.3,33.3,21.5
92,1989,9,14,247.3,102.2,84.4,24.1,30.8,5.5,32.7,21.3
93,1989,10,16,111.0,24.9,83.7,24.2,31.3,5.5,32.9,21.1
94,1989,11,20,508.4,148.6,86.0,24.0,31.0,5.4,32.8,22.6
95,1989,12,18,179.7,44.2,85.5,23.9,30.2,4.8,32.0,22.5
96,1990,1,13,147.4,73.9,83.8,23.7,30.3,5.3,32.1,22.4
97,1990,2,8,24.1,6.6,80.9,24.9,32.4,8.9,34.0,24.0
98,1990,3,4,94.2,48.6,77.6,25.0,33.3,8.3,34.7,21.4
99,1990,4,10,52.4,12.0,81.2,25.3,33.4,6.3,35.0,23.1
100,1990,5,11,180.1,153.7,81.1,25.6,32.8,6.5,34.6,23.0
101,1990,6,9,112.6,76.1,80.7,25.4,32.4,6.3,33.8,21.9
102,1990,7,12,124.0,44.5,82.7,24.6,31.4,5.9,33.5,22.6
103,1990,8,13,146.6,38.3,82.3,25.1,31.4,5.8,33.9,21.1
104,1990,9,17,204.5,44.5,83.2,24.2,31.3,5.1,33.3,21.2
105,1990,10,12,56.4,20.2,83.5,24.9,31.8,5.9,33.3,23.7
106,1990,11,17,180.4,46.9,83.5,24.7,31.3,4.6,34.0,22.4
107,1990,12,16,201.1,33.5,86.0,24.1,30.2,5.5,31.8,22.9
108,1991,1,13,123.9,36.2,84.1,24.2,30.9,5.6,33.1,22.7
109,1991,2,7,45.5,17.9,81.6,24.1,31.8,7.0,33.5,22.7
110,1991,3,10,92.4,48.6,79.9,24.7,32.4,7.1,34.0,22.5
111,1991,4,13,134.2,32.2,84.3,24.7,32.3,5.8,34.1,22.8
112,1991,5,23,256.4,44.0,86.6,25.0,31.5,5.1,33.2,22.6
113,1991,6,9,88.7,55.6,81.0,25.8,32.2,7.1,33.6,23.5
114,1991,7,8,37.3,10.7,78.7,25.7,32.1,6.7,34.0,23.1
115,1991,8,8,226.2,129.9,79.8,25.3,32.2,5.3,33.6,22.4
116,1991,9,12,123.1,53.6,83.0,24.7,31.3,4.1,32.5,23.0
117,1991,10,5,52.0,20.4,81.4,24.7,31.8,4.2,33.4,22.9
118,1991,11,19,205.0,75.2,86.5,23.6,30.6,3.5,32.6,22.0
119,1991,12,19,492.3,79.4,90.7,23.4,29.1,3.0,31.5,22.2
120,1992,1,9,83.9,56.2,82.4,23.8,30.7,6.6,31.8,22.1
121,1992,2,4,62.4,43.2,80.5,24.3,32.1,7.7,33.1,22.3
